Name,Score,Genres,English name,Type,Month Aired,Year Aired,Duracion_min,Episodes,Premiered,Studios,Source,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,Dropped
Cowboy Bebop,8.78,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",Cowboy Bebop,TV,Apr,1998,24,26,Spring,Sunrise,Original,R,28.0,39,1251960,61971,105808,718161,26678
Cowboy Bebop: Tengoku no Tobira,8.39,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",Cowboy Bebop:The Movie,Movie,Sep,2001,115,1,Fall,Bones,Original,R,159.0,518,273145,1174,4143,208333,770
Trigun,8.24,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",Trigun,TV,Apr,1998,24,26,Spring,Madhouse,Manga,PG,266.0,201,558913,12944,29113,343492,13925
Witch Hunter Robin,7.27,"['Action', 'Mystery', 'Police', 'Supernatural', 'Drama', 'Magic']",Witch Hunter Robin,TV,Jul,2002,25,26,Summer,Sunrise,Original,PG,2481.0,1467,94683,587,4300,46165,5378
Bouken Ou Beet,6.98,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",Beet the Vandel Buster,TV,Sep,2004,23,52,Fall,Toei Animation,Manga,PG,3710.0,4369,13224,18,642,7314,1108
Eyeshield 21,7.95,"['Action', 'Sports', 'Comedy', 'Shounen']",Eyeshield 21,TV,Apr,2005,23,145,Spring,Gallop,Manga,PG,604.0,1003,148259,2066,13907,78349,11573
Hachimitsu to Clover,8.06,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",Honey and Clover,TV,Apr,2005,23,24,Spring,J.C.Staff,Manga,PG,468.0,687,214499,4101,11909,81145,11026
Hungry Heart: Wild Striker,7.59,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",Hungry Heart: Wild Striker,TV,Sep,2002,23,52,Fall,Nippon Animation,Manga,PG,1317.0,3612,20470,231,817,13778,1168
Initial D Fourth Stage,8.15,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",Initial D Fourth Stage,TV,Apr,2004,27,24,Spring,A.C.G.T.,Manga,PG,360.0,1233,117929,979,6082,90967,1356
Monster,8.76,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",Monster,TV,Apr,2004,24,74,Spring,Madhouse,Manga,R,30.0,169,614100,29436,64648,214491,23008
Naruto,7.91,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",Naruto,TV,Oct,2002,23,220,Fall,Studio Pierrot,Manga,PG,660.0,8,1830540,65586,137167,1462223,99806
One Piece,8.52,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",One Piece,TV,Oct,1999,24,Unknown,Fall,Toei Animation,Manga,PG,95.0,31,1352724,126645,887333,33,136245
Tennis no Ouji-sama,7.9,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']",The Prince of Tennis,TV,Oct,2001,22,178,Fall,Trans Arts,Manga,PG,675.0,1039,141832,3124,11235,76881,12516
Ring ni Kakero 1,6.38,"['Action', 'Shounen', 'Sports']",Ring ni Kakero 1,TV,Oct,2004,25,12,Fall,Toei Animation,Manga,PG,6493.0,7333,3648,16,170,1333,296
School Rumble,7.94,"['Comedy', 'Romance', 'School', 'Shounen']",School Rumble,TV,Oct,2004,23,26,Fall,Studio Comet,Manga,PG,625.0,514,275464,5137,12277,157789,13491
Sunabouzu,7.42,"['Action', 'Adventure', 'Comedy', 'Ecchi', 'Sci-Fi', 'Shounen']",Desert Punk,TV,Oct,2004,24,24,Fall,Gonzo,Manga,R,1844.0,1284,111734,790,6273,53819,7951
Texhnolyze,7.76,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",Texhnolyze,TV,Apr,2003,23,22,Spring,Madhouse,Original,R,896.0,823,182599,3671,11335,47532,8112
Trinity Blood,7.32,"['Action', 'Supernatural', 'Vampire']",Trinity Blood,TV,Apr,2005,24,24,Spring,Gonzo,Light novel,R,2240.0,936,158343,1479,7794,87958,9349
Yakitate!! Japan,7.95,"['Comedy', 'Shounen']",Yakitate!! Japan,TV,Oct,2004,24,69,Fall,Sunrise,Manga,PG,609.0,1666,80183,887,5007,39992,4633
Zipang,7.51,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",Zipang,TV,Oct,2004,24,26,Fall,Studio Deen,Manga,PG,1565.0,3985,16652,152,857,6807,599
Neon Genesis Evangelion,8.32,"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Neon Genesis Evangelion,TV,Oct,1995,24,26,Fall,"Gainax, Tatsunoko Production",Original,PG,208.0,54,1160651,71308,66549,815938,20358
Neon Genesis Evangelion: Death & Rebirth,7.45,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Neon Genesis Evangelion:Death & Rebirth,Movie,Mar,1997,104,1,Spring,"Gainax, Production I.G",Original,R,1742.0,833,180681,588,1941,146202,961
Neon Genesis Evangelion: The End of Evangelion,8.51,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Neon Genesis Evangelion:The End of Evangelion,Movie,Jul,1997,87,1,Summer,"Gainax, Production I.G",Original,R,102.0,195,572080,17811,8055,482918,1499
Kenpuu Denki Berserk,8.49,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",Berserk,TV,Oct,1997,25,25,Fall,OLM,Manga,R,108.0,301,432190,18567,19540,276588,9406
Koukaku Kidoutai,8.29,"['Action', 'Mecha', 'Police', 'Psychological', 'Sci-Fi', 'Seinen']",Ghost in the Shell,Movie,Nov,1995,82,1,Fall,Production I.G,Manga,R,236.0,265,468279,10362,8152,325682,1927
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']",Samurai X:Trust and Betrayal,OVA,Feb,1999,30,4,Winter,Studio Deen,Manga,R,37.0,637,228484,6111,6359,150183,1836
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen']",Rurouni Kenshin,TV,Jan,1996,25,94,Winter,"Gallop, Studio Deen",Manga,PG,220.0,345,386195,11236,29540,216154,18588
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"['Samurai', 'Historical', 'Drama', 'Shounen']",Samurai X:The Motion Picture,Movie,Dec,1997,91,1,Winter,Gallop,Manga,R,1397.0,2411,44334,107,547,34481,228
Akira,8.17,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural', 'Seinen']",AKIRA,Movie,Jul,1988,124,1,Summer,Tokyo Movie Shinsha,Manga,R,333.0,197,566538,9555,8258,434086,2174
.hack//Sign,6.98,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",.hack//Sign,TV,Apr,2002,24,26,Spring,Bee Train,Original,PG,3687.0,940,158227,1359,6733,91528,11881
Aa! Megami-sama!,7.32,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",Oh! My Goddess,OVA,Feb,1993,30,5,Winter,AIC,Manga,PG,2226.0,2360,46428,267,993,34581,894
Aa! Megami-sama! (TV),7.35,"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",Ah! My Goddess,TV,Jan,2005,24,24,Winter,AIC,Manga,PG,2116.0,1083,135747,1124,5841,85884,7971
Tenshi Kinryouku,6.31,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",Angel Sanctuary,OVA,May,2000,30,3,Spring,Hal Film Maker,Manga,R,6823.0,2419,43960,215,812,32981,1311
Kidou Tenshi Angelic Layer,7.26,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",Battle Doll Angelic Layer,TV,Apr,2001,24,26,Spring,Bones,Manga,PG,2529.0,2232,51022,290,1653,32978,2852
Ai Yori Aoshi,7.14,"['Harem', 'Slice of Life', 'Comedy', 'Drama', 'Romance']",Ai Yori Aoshi,TV,Apr,2002,23,24,Spring,J.C.Staff,Manga,PG,3012.0,1465,94793,458,4111,60075,5814
Appleseed (Movie),7.1,"['Action', 'Military', 'Sci-Fi', 'Police', 'Drama', 'Mecha', 'Shounen']",Appleseed (Movie),Movie,Apr,2004,105,1,Spring,Digital Frontier,Manga,R,3206.0,1901,65139,173,787,52100,489
Arc the Lad,6.53,"['Action', 'Adventure', 'Fantasy', 'Horror', 'Sci-Fi']",Arc the Lad,TV,Apr,1999,22,26,Spring,Bee Train,Game,R,5738.0,4259,14187,17,581,7032,910
Avenger,5.91,"['Adventure', 'Fantasy', 'Sci-Fi', 'Shounen']",Avenger,TV,Oct,2003,24,13,Fall,"Bee Train, Xebec",Original,R,8501.0,4073,15779,21,617,7906,1255
Beck,8.31,"['Comedy', 'Drama', 'Music', 'Shounen', 'Slice of Life']",Beck:Mongolian Chop Squad,TV,Oct,2004,25,26,Fall,Madhouse,Manga,R,221.0,570,255668,7038,10580,133432,8488
Blue Gender,7.05,"['Adventure', 'Romance', 'Mecha', 'Military', 'Sci-Fi', 'Horror', 'Space', 'Drama']",Blue Gender,TV,Oct,1999,23,26,Fall,AIC,Original,R,3455.0,1886,65360,389,2738,31583,3195
Chobits,7.43,"['Sci-Fi', 'Comedy', 'Drama', 'Romance', 'Ecchi', 'Seinen']",Chobits,TV,Apr,2002,24,26,Spring,Madhouse,Manga,PG,1804.0,332,402646,3859,15294,272425,22409
Chrno Crusade,7.66,"['Action', 'Demons', 'Historical', 'Romance', 'Shounen', 'Supernatural']",Chrono Crusade,TV,Nov,2003,23,24,Fall,Gonzo,Manga,R,1120.0,742,198007,2064,8228,117484,9842
D.N.Angel,7.2,"['Action', 'Comedy', 'Magic', 'Romance', 'Fantasy', 'School', 'Shoujo']",D.N.Angel,TV,Apr,2003,23,26,Spring,Xebec,Manga,PG,2761.0,891,167615,1523,5183,117045,11057
D.C.: Da Capo,6.77,"['Harem', 'Drama', 'Magic', 'Romance']",D.C.~Da Capo~,TV,Jul,2003,24,26,Summer,"feel., Zexcs",Visual novel,PG,4589.0,1852,67491,189,3024,36037,3852
DearS,6.62,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'Shounen']",DearS,TV,Jul,2004,23,12,Summer,Daume,Manga,R,5274.0,1146,128788,391,3766,95113,5507
Rozen Maiden,7.44,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",Rozen Maiden,TV,Oct,2004,24,12,Fall,Nomad,Manga,PG,1782.0,846,176775,2074,5599,113914,7852
Rozen Maiden: Träumend,7.65,"['Action', 'Comedy', 'Drama', 'Magic', 'Seinen']",Rozen Maiden:Träumend,TV,Oct,2005,24,12,Fall,Nomad,Manga,PG,1146.0,1479,93768,516,2006,73523,1647
Azumanga Daioh,7.98,"['Slice of Life', 'Comedy', 'School']",Azumanga Daioh:The Animation,TV,Apr,2002,24,26,Spring,J.C.Staff,4-koma manga,PG,555.0,554,262980,5181,13747,143431,13115
Basilisk: Kouga Ninpou Chou,7.58,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Romance', 'Samurai', 'Fantasy']",Basilisk,TV,Apr,2005,24,24,Spring,Gonzo,Manga,R,1325.0,940,156661,1467,6964,82153,6957
Black Cat (TV),7.38,"['Sci-Fi', 'Adventure', 'Comedy', 'Super Power', 'Shounen']",Black Cat,TV,Oct,2005,24,23,Fall,Gonzo,Manga,PG,1965.0,622,231668,1955,10510,142921,11003
Cluster Edge,6.35,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",Cluster Edge,TV,Oct,2005,24,25,Fall,Sunrise,Original,PG,6646.0,5061,9299,13,500,3068,942
Full Metal Panic!,7.65,"['Action', 'Military', 'Sci-Fi', 'Comedy', 'Mecha']",Full Metal Panic!,TV,Jan,2002,24,24,Winter,Gonzo,Light novel,R,1146.0,322,411230,4417,17458,264665,13806
Full Metal Panic? Fumoffu,8.07,"['Action', 'Comedy', 'School']",Full Metal Panic? Fumoffu,TV,Aug,2003,24,12,Summer,Kyoto Animation,Light novel,PG,452.0,571,254465,2988,5383,204041,3533
Full Metal Panic! The Second Raid,7.96,"['Action', 'Military', 'Mecha']",Full Metal Panic! The Second Raid,TV,Jul,2005,24,13,Summer,Kyoto Animation,Light novel,R,579.0,639,227927,1358,4667,177524,2271
Gakuen Alice,7.65,"['Comedy', 'School', 'Shoujo', 'Super Power']",Gakuen Alice,TV,Oct,2004,25,26,Fall,Group TAC,Manga,G,1158.0,1640,81446,1613,2495,57369,2916
Soukyuu no Fafner: Dead Aggressor,7.3,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi']",Fafner of the Blue Sky,TV,Jul,2004,24,25,Summer,Xebec,Original,PG,2348.0,2523,40602,255,2179,16417,1987
Mahou Shoujo Lyrical Nanoha,7.42,"['Action', 'Comedy', 'Drama', 'Magic', 'Super Power']",Magical Girl Lyrical Nanoha,TV,Oct,2004,25,13,Fall,Seven Arcs,Original,PG,1828.0,1550,88890,1036,3287,47731,2625
